,text,label,category
0,".omg why are poc wearing fugly blue contacts so in, it is 2018. please make it stop.",False,normal
1,.Sorry but most of the runners popular right now are just plain fugly.,False,normal
2,".those jeans are hideous, and I?m afraid he?s bought the entire collection of those fugly sunglasses ??",False,normal
3,.I had to dress up for a presentation in class today and I?m giving some serious Mr. Grey zaddy vibes if I do say so myself,False,normal
4,.Am I the only one who thinks justin bieber is fugly af now?,False,normal
5,We carry on? We as in fugly lookin unwanted people?,False,normal
6,"Don?t know what?s worse, the fact he?s hoying milk in before the water or his fat fugly face at the end of that vid.",False,normal
7," Enjoy your New Smyrna Beach..full of seaweed, shallow fugly green water and sharks. Nothing comp.",False,normal
8,Yeah honestly that?s fugly.,False,normal
9,No one wants to see those fugly 3T bikes?,False,normal
10,This luxury bldg they?re putting up across from .thepinhook is so fugly. I would still be mad even if it were aesthetically pleasing but ew.,False,normal
11,Everyone else was in the line up except for her and they got to debut together while she gad to wear a fugly purple.,False,normal
12,Fell for that again didnt ya XD #PhoneCallTrick.,False,normal
13,fugly Am alright starting to get a headache myself.,False,normal
14,"Fugly?, Whom?, You two? Henny.....",False,normal
15,o wow conq varus actually looks good unlike fucking horrifically fugly conq karma.,False,normal
16,"I'm fed up with this migraine."", ""How's you",False,normal
17,King Show off.,False,normal
18,"if anyone references talking about aliens when explaining aquarius they are fraudulent.', 'do not trust them, they are a fugly.",False,normal
19,She's fugly.,False,normal
20,".I am fugly crying!', 'I can?t handle this!', 'This was so beautiful!', 'Euphoria is such a bop too.', '????.",False,normal
21,"i literally only know one person who uses the word fugly.', 'lol fuck off anna..",False,normal
22,.Fugly ass.,False,normal
23,.today i am fatish and fugly.,False,normal
24,"The ?fugly? friend.', 'Funny &; ugly.",False,normal
25,.Is fugly a curse word?.,False,normal
26,.Pain is putting on the outfit that was so cute in your head only to find out it?s fugly on.,False,normal
27,.And now theres like 20 people claimin one ov my fb statuses is bout them XD People round ear make me chuckle.,False,normal
28,damn I?m fugly.,False,normal
29,Fugly,False,normal
30,"Oh I know.....new titans unis are fugly!', 'Keep enjoying your mayo.",False,normal
31,finsta is cool because on regular insta everyone showcases their perfect lives &amp; has no flaws but when i check my finsta fe.,False,normal
32,You never know how much someone means until they are gone.,False,normal
33,fugly how are you today buddy.,False,normal
34,"At what Halle?', 'At what?.",False,normal
35,It's so annoying how Joe looks handsome all the daaaamn time and I need a black and white filter otherwise I strugs,False,normal
36,".Whenever I see a photo of a girl wt the snapchat ?hearts? filter...', 'I take it as an admission of gulit to being fugly.",False,normal
37,Tweaking libruls definitely includes wearing something this fugly..,False,normal
38,I feel dirty having the same icon as this fugly person.,False,normal
39,I am the opposite: I know exactly how to use lines but fugly as shit..,False,normal
40,"Aight I just gotta know.', 'Are these cool?', 'I think they are fugly, but I turn 40 this month, so my opinion doesn?t se.",False,normal
41,Youtuber disgusses fugly movie (for the sake of criticism) - movie director finds ou.,False,normal
42,"Thanks!', 'Momma Dawgs are really pissed now!!!', ""It's about to FUGLY!!"", 'U0001f92cU0001f92f.",False,normal
43,"100k RTS AND LIL YACHTY WILL REMIX WITH MY TEAM!!', 'I GOT 3 WEEKS!!', 'ORIGINAL SONG IN BIO..', 'PLEASE HELP ME OUT!.",False,normal
44,"I'm such a fucking fugly pig!!"", 'Damn it!', ""I'm so irritated with my fugly face!",False,normal
45,"I?m Cassie.', 'Everyone else is fugly and dumb..",False,normal
46,".The new balance 999 is a perfect shoe.', 'New balance should?ve really pushed those instead of the fugly 990s everyone.",False,normal
47,Honestly I'm mostly interested in cards that are coming out like a billion years from now (Determi,False,normal
48,".Can the trend of backpacks stay in primary school plz.', ""it's so fugly.""]",False,normal
49,.Fugly.,False,normal
50,"I have brought your offerings, Master..",False,normal
51,"Looks like a moon-pie in search of a chin.', '#Fugly.",False,normal
52," its fugly but like heres the header that sort of matches the icon for anyone who wants it vote for xukun!', '(AND ZHENGTI.",False,normal
53,Whoops haha Don't worry that's happened to me many times ;p,False,normal
54,".So many fugly ass people around here.', 'Bishhh why -.-.",False,normal
55,fugly I thought this was a GIF and tapped play at work with my phone speakers too loud....,False,normal
56,"That's an insult, Kim was fugly af""]",False,normal
57,".Lol main koi celeb hu kiya jo mujhe support karoge btw that ""flopsstar"" has defeated that murderer's fugly ass in.",False,normal
58,That person is a hero to us all.,False,normal
59,i feel that.,False,normal
60,current mood:.,False,normal
61,Fugly.,False,normal
62,My time has come.,False,normal
63,?Y?all talk?? ?Nahh.....we just ruining each other life?.,False,normal
65,But who is he?.,False,normal
66, Disagree was nowhere near rogue M3&amp;M4 for me plus it's FUGLY!,False,normal
67,".All you bitches is fugly, smoking on dope like a junky",False,normal
68,"fugly, more like cute as heck.",False,normal
69,No more rolling up and wasting money on wraps again This .gluntofficial is a game changer.,False,normal
70,"Ann Leary shook her head.', '""I've rented my body to an April witch, for sure.""', '""Close, very close!""', 'laughed Cecy.', '""No.",False,normal
71,".Brrr...it?s like a blizzard out here with all of these .NRA snowflakes!', 'Quick review: The NRA puts profits over peo.",False,normal
72,"Hey foxandfriends, the next time you propose a dumbass idea like militarizing the border, be sure to include more.",False,normal
73,".The *entire* discourse on the right has been veering, since the rise of Rush Limbaugh, to ?who can be the most outr.",False,normal
74,"Stock Market manipulation at the hands of 1 Twitter dumbass should not be allowed to happen in this country.', 'Millions of 40.",False,normal
75,.GUESS WHICH DUMBASS IS OFFICIALLY OUT OF ENGINEERING SCHOOL.,False,normal
76,.I?m the biggest dumbass you?ll ever meet.,False,normal
77,".Sometimes a mans gotta do what he has to scooby dooby doo ?Uhhh you?re not a man, or a dog, dumbass? I am on all le.",False,normal
78,.bro i just went on a hike and seen a rattle snake and my dumbass just jumps over it im literally such an idiot some.,False,normal
79,.Ate up with the DumbAss....,False,normal
80,.tweedle dee &amp; tweedle dumbass.,False,normal
81,BRON BLOCKING SHOT FXCKIN DUMBASS JUST DUNK THE BALL.,False,normal
82,.yes I am emotional and yes I am a complete dumbass sometimes and yes I am loud as hell and yes I love people with m.,False,normal
83,.MY CUTE DUMBASS.,False,normal
84,..4billybob2 .SelfImposedXile .1nomore1 .ChrisLutolf .MsEmmaPeele .Marion.aruaL .VettingBernie. .FlipItDem.,False,normal
85,.One of the worst things I ever said was ?yeah I bet you?re just dying to get out of the hospital? I?m a dumbass.,False,normal
86,"It's me, a grown man who refers to another grown man losing his job for being a hateful dumbass as ""chilling""..",False,normal
87,"why's she seem so cute all of a sudden?'"", '""SHE'S BEEN CUTE SINCE THE BEGINNING, DUMBASS!"".",False,normal
88,i love all the theories n explanations on my tl :') my dumbass didnt understand some of the things but now WOW MY HEAD IS ABT TO EXPLODE,False,normal
89,.Dumbass vbitvhes.,False,normal
90,Also . me next time dumbass.,False,normal
91,".This dumbass.', 'Almost every book I ever read I was introduced to by a cis boy.', 'Warriors, Cirque Du Freak, Artemis F.",False,normal
92,. .Seeds81Planting: .cxpage .TKORachael .QuidProWTF .VETS.VS.BANNON .RedWaveRising1 .franksan240 .Tam.Resist .unconcious0 .Connie48359391.,False,normal
93,my dumbass processed that as an nipple piercing dkfjkd.,False,normal
94,.I need someone to beat the living shit out of my dumbass.,False,normal
95,people talk a lot of shit about famous politicians spending a ton of money on an absurdly nice wooden table but unfortunate.,False,normal
96,Females get out of a relationship and all of a sudden start posting excerpts from books and shit LMAOOOOOOOOOO ohhhh so n.,False,normal
97,.OK.Dumbass  Unfortunately the rest of America now has to deal with their regretful vote..,False,normal
98,Lmao....no I am spiritual not a right wing wa.,False,normal
99,next time I lose my iPhone I?m using ?find my iPhone? what kind of dumbass doesn?t put it on.,False,normal
100,".If there is anything u can say wit certainty about Devin Nunes, its that during his 15 minutes of fame, he has tru.",False,normal
101,"[""I'm such a dumbass.""]",False,normal
102,"I'm dumb, i know what I'm saying...i also write it as I say it as well you dumbass......"", 'I give you.",False,normal
103,"Bwahahaaa!!!', 'Dumbass Oklahoma #GOP lawmakers says 25 percent of teacher protestors are paid actors bussed in from Chicago h.",False,normal
104,So abortion is murder but killing women who get abortions is not..,False,normal
105,".I just bought my cap and gown.', 'Yo this is really happening.. my dumbass is really graduating from college.",False,normal
106,Dumbass is one word..,False,normal
107,APPRECIATE THAT PERSON IN UR LIFE THAT STAYS WITH UR DUMBASS THROUGH ALL THE BULLSHIT U PUT THEM THROUGH AND LOVES YOU.,False,normal
108,"The *entire* discourse on the right has been veering, since the rise of Rush Limbaugh, to ?who can be the most outrageous prov.",False,normal
109,".My dumbass forgot my work uniform on my bed.. first time I ever done that shit.', 'Now I gotta wear hospital scrubs.', 'Hella weird ??‍??.",False,normal
110,".I have always dream of making people happy... how?', 'Acting?', 'Music?', 'Comedy?', ""The only one I'm actually a little good a""]",False,normal
111,.My day been so terrible y?all my dumbass got out the car didn?t put the car in park and almost crashed into the corner store like wtf ??‍??.,False,normal
112,.This is my dumbass.,False,normal
113,.I bet we are only scraping the top of the crooked things that DUMBASS did!.,False,normal
114,"Everything is a conspiracy theory.', 'The world is flat.', ""Vaccines cause autism (if they don't kill you first)."", 'All rich Black peo.",False,normal
115,"Jon Gruden is a whole dumbass for releasing a good punter.', 'You never know you need a.",False,normal
116,"me, seeing an 8-year-old utilize a vivid imagination to create a battle sequence between their transformer and a kirby.",False,normal
117,.if i try this in textiles class and it don?t work imma look like a dumbass.,False,normal
118,"He was voted Germany player of the year ZERO times.', 'He won a fan.",False,normal
119,"realDonaldTrump Dumbass.', 'He won't ""ask"" you.', 'He will ORDER you according to the constitu.",False,normal
120, listen kids I know u want to stop getting violently murdered by assault rifles but you need to grow up and realize that t.,False,normal
121,"I have no idea, I was at like 100 in October, and 99% of my posts are about idolshit so idk why I'm getting dumbass clout.""]",False,normal
122,".my mum finds me irritating and tells me to shut up every time i open my damn mouth.', 'my dad is a dumbass bigot who i.",False,normal
123," How am i defending white people ?', 'All I?m saying in the tweet is don?t be a hypocrite.', 'If ya dumbass would.",False,normal
124,..cxpage .TKORachael .QuidProWTF .VETS.VS.BANNON .RedWaveRising1 .franksan240 .Tam.Resist .unconcious0.,False,normal
125,"What a dumbass.', ""This affirmative action Senator can't even make a joke correctly."", 'The proper line would have been, ""Do.",False,normal
126,My dumbass tried to text this bitch after I blocked him.,False,normal
127,"OK.Dumbass .TPM .SenMajLdr Agreed.', 'McConnell will be remembered for his part in the failed coup.', 'He?s lucky Obama wasn?t lik.",False,normal
128,"I beg you, stop sending me hippo related news.', 'I don?t care.', 'I picked this dumbass identity in a panic when an employer.",False,normal
129,My dumbass be loyal before the relationship start...,False,normal
130,Incase you didn't understand why you were gaslight with cyber-weapons to use the owl logo and do your dumbass pedo 666 shrimpdick sign,False,normal
131,"Yes, by all means.', ""Don't criticize something wrong."", 'Just find something to distract you from it.', ""Uh, that doesn't work."", '#Dumbass.",False,normal
132,dis pollen everytime i step my dumbass outside.,False,normal
133,"DOTUS Dumbass Of The United States He's really losing it this week."", 'Scary times!.",False,normal
134,"realDonaldTrump *Muhammad Ali...Dumbass.', 'You conveniently forget that he and his fathe.",False,normal
135,".""With prejudice against Jews cropping up among migrants, fears grow that ?a new generation of anti-Semites is comin.",False,normal
136,".Today is not #PunishAMuslimDay.', 'There is no such day, and there never will be.', 'Today is a day to remind your Muslim.",False,normal
137,"In general, conservatives seem more prone to flip out this way than liberals -- and if you're Jewish and at all awa",False,normal
138,I think the hatred & prejudice was always there &amp; the internet has just exposed it more effectivel.,False,normal
139,"a quote by joe wright, director of pride &amp; prejudice and atonement..",False,normal
140,"Thank you .renireni for writing this vital piece of work.', 'To my white followers, PLEASE READ THIS BOOK!', 'Dont shy away fro.",False,normal
141,"Willful blindness is as dangerous as outright prejudice, and perhaps more so.",False,normal
142,".Follow .symeonbrown tonight in Tottenham.', 'No better reporter on this - grief, rage, prejudice, injustice, he captur.",False,normal
143,But why is Dri?s picture slay and mine looks disgusting ?? this is prejudice and I?m not happy.,False,normal
144,"Today I visited Auschwitz: an incredibly sobering experience, but also a stark reminder of why we must continue to oppo.",False,normal
145,"Helping you understand life Daily insights, tips and analysis about purpose, existence, happiness, bias, prejudice and.",False,normal
146,"You have got to be kidding?', 'Have you not seen pics of Hitler Roseanne?', 'That show is obnoxious and p.",False,normal
147,"Don?t allow prejudice rob you of this moment.', 'Enjoy the man while he?s still around.', 'We won?t be seeing another RONALDO in.",False,normal
148,"Blackmail, prejudice and persecution: gay rights in #Nigeria.",False,normal
149,".I commit to spread #LoveOverBias.', ""Watch .ProcterGamble's new film &amp; stand with .glblctzn against prejudice, too.""]",False,normal
150,"What is it about trans women that makes them inherently more dangerous than cis women?', 'Th.",False,normal
151,"We are manipulated even in education.', 'In Brazil, some school books used to imply that native A.",False,normal
152,Was there always this much hatred and prejudice before the internet or has the internet just exposed it more effective.,False,normal
153,"The fray, seattle, pride and prejudice, books, skirt, harry and indiana, and many many songs and other things.",False,normal
154,"We must not stand for prejudice and discrimination in our society.', 'Communities are built by people coming together, and are.",False,normal
155,"After the meeting and my speech, a charming British person told me that it's not me that the Brits want to get rid of but""]",False,normal
156,"As a Corbyn surporter I reject the notion that I'm some kind of naive idiot blind to antisemitism."", ""I'm fed up of being to",False,normal
157,pride and prejudice.. and zombies.,False,normal
158,"Fire has no prejudice.', 'It can happen to anyone at any place at any time.', 'It can happen on any campus in this country,"" Simo.",False,normal
159,"Only freedom from prejudice and tireless zeal avail for the most holy of the endeavours of mankind, the practice of th.",False,normal
160,"Many of us on the Jewish left are trans.', ""We don't make room for prejudice in our community ??""]",False,normal
161,Corbyn should attend anti-Semitic prejudice course Back to school Jezza.,False,normal
162,we Jews have a particular calling to fight every type of prejudice and support our Muslim brothers.,False,normal
163,Buffon il a assez de r?f?rence l? pour porte plainte contre Ronaldo contre harc?lement sexuel pr?judice moral homicide volo.,False,normal
164,"As bad as personal prejudice is, personal prej.",False,normal
165,".?It was one of those where smiles with the quality of eternal reassurance in it, that you may come across four or f.",False,normal
166,"message est fort, poignant et doit ?tre entendu.', ""Nos jeunes ont besoins d'avancer le pr?judice est immense ? ce stade l?""]",False,normal
167, I agree but as I said the video is from the early 90?s &amp; definitely not representative i.,False,normal
168,"The prejudice is palpable.', 'We can only qualify for this tournament through the C.",False,normal
169,"This statement is so racist and ignorant.', 'Everybody is equal period.', 'Racism is defined as?prejud.",False,normal
170,".Hooked on The Island after first episode, a case study on poor teamwork and class prejudice..",False,normal
171,"?Punish A Muslim? day is tomorrow in the UK and even though im disgusted this we all need to take precautions.', 'Please.",False,normal
172,".Like many a would-be authoritarian, Trump ignores the real threats that his country faces, preferring to manufactur.",False,normal
173,".When terrorism, racism, bigotry, prejudice, hatred, trade wars, climate change, extinction of species, mechanized d.",False,normal
174,".I was 44 when Martin Luther King was assassinated, my family was young &amp; I remember along with my wife sitting down.",False,normal
175," I'm sure it can be entertaining to watch but it seems to me it's just a bunch of morons beating the sh""]",False,normal
176,this is what happens when you openly listen to bts without prejudice.,False,normal
177,"racism re?s?z(?)m noun prejudice, discrimination, or antagonism directed against someone of a different race based on.",False,normal
178,"Les mineurs ?taient majeurs dont l'un avait 32 ans."", '285 mineurs non accompagn?s ?trangers pris en compte par le D?parte.",False,normal
179,"Many of the Irishmen serving in the US army during the Mexican-American War experienced racism and anti-Catholic prejudice, a.",False,normal
